Name,RA,DEC
A2457,338.9204,1.4845
A2459,339.1904,-15.7347
A2462,339.7976,-17.3413
A2469,340.1448,12.3115
A2480,341.4961,-17.6258
A2492,342.6269,-19.243
A2495,342.5824,10.9033
A2511,344.7129,-7.5828
A2524,345.7331,17.7498
A2525,346.0086,-10.7519
A2558,348.1816,10.3619
A2559,348.2615,-13.6233
A2572,349.3064,18.7078
A2589,350.9898,16.7766
A2593,351.084,14.6473
A2618,353.5233,22.983
A2622,353.7563,27.3719
A2625,354.456,20.8091
A2626,354.1276,21.1466
A2630,354.5735,15.6689
A2634,354.6227,27.0305
A2637,354.7225,21.4644
A2644,355.2803,0.0949
A2656,356.1805,-4.0123
A2657,356.127,9.2643
A2660,356.3166,-25.8358
A2665,357.7109,6.1492
A2666,357.7444,27.1466
A2670,358.557,-10.4193
A2675,358.9278,11.3429
A2678,359.0014,11.7238
A2716,0.7546,-27.1355
A2717,0.8032,-35.938
A2731,2.496,-57.0216
A2734,2.8406,-28.8548
A2764,5.1489,-49.2132
A2771,6.134,-40.1253
A2793,8.4373,-82.6024
A2799,9.3651,-39.1301
A2800,9.4902,-25.0741
A2806,10.202,-56.2148
A2810,10.374,-61.0817
A2819,11.5212,-63.5555
A2824,12.1252,-21.3606
A2836,13.2174,-47.6247
A2841,13.7691,-48.9383
A2854,15.1947,-50.535
A2859,15.5518,-67.5813
A2864,16.0347,-66.9799
A2870,16.9243,-46.9087
A2877,17.4784,-45.9326
A2881,17.8089,-17.0707
A2896,19.5775,-37.1047
A2923,23.0894,-31.0925
A2954,28.9372,-71.4585
A2992,33.7125,-26.6601
A3004,34.7164,-47.9995
A3009,35.5305,-48.5645
A3027,37.483,-33.1779
A3045,40.922,-51.4615
A3074,44.5472,-52.7287
A3078,45.1065,-51.8475
A3089,47.0707,-36.7088
A3094,47.8544,-26.9315
A3095,48.1109,-27.1403
A3098,48.4314,-38.3037
A3100,48.4702,-47.793
A3104,48.591,-45.4206
A3106,48.6246,-58.0968
A3107,49.026,-42.7534
A3109,49.1643,-43.8547
A3110,49.0517,-50.9534
A3111,49.4382,-45.7557
A3112,49.4905,-44.2382
A3120,50.4853,-51.3268
A3122,50.576,-41.3282
A3123,50.7284,-52.0303
A3125,51.9783,-53.3717
A3128,52.6601,-52.6201
A3133,53.0252,-45.93
A3135,53.5281,-38.993
A3142,54.1561,-39.7948
A3144,54.2703,-55.0224
A3151,55.1127,-28.6772
A3158,55.8747,-53.6924
A3164,56.4457,-57.0358
A3188,59.3486,-27.1213
A3193,59.5564,-52.329
A3195,59.7288,-35.3026
A3202,59.8714,-53.6396
A3223,62.136,-30.8223
A3225,62.4046,-59.5919
A3231,62.8154,-64.5356
A3266,67.8066,-61.4536
A3301,75.2054,-38.6745
A3323,77.8447,-28.9924
A3332,79.1462,-42.2029
A3336,80.3782,-40.8173
A3341,81.397,-31.602
A3354,83.6795,-28.6906
A3367,87.4238,-24.5455
A3374,89.179,-21.2534
A3376,90.1709,-40.0463
A3380,91.7425,-49.4934
A3381,92.474,-33.5928
A3389,95.5888,-64.9346
A3390,96.1659,-37.3359
A3391,96.585,-53.6934
A3392,96.7778,-35.4879
A3395,96.9018,-54.4505
A3407,106.247,-49.0835
A3408,107.1236,-49.2137
A3420,143.029,-24.8179
A3429,149.8525,-24.9711
A3432,150.3548,-33.0243
A3490,176.334,-34.4338
A3492,179.0938,-33.5132
A3494,179.2911,-32.152
A3497,180.0257,-31.3881
A3500,180.7318,-30.1275
A3505,182.1788,-34.4436
A3526,192.2039,-41.3117
A3528,193.593,-29.0128
A3530,193.9004,-30.347
A3531,194.2873,-32.9168
A3532,194.3423,-30.3632
A3537,195.253,-32.4414
