band,BCG_ICL_frac,BCG_frac,ICL_frac,BCG_ICL_frac_err,BCG_frac_err,ICL_frac_err,ICL_over_BCGICL_frac,ICL_over_BCGICL_frac_err,ICL_lum,ICL_lum_err,BCG_lum,BCG_lum_err,RS_lum,TOTAL_lum,TOTAL_lum_err
g,0.4592900302632089,0.26693156791507006,0.1923584623481388,0.02239673059836855,0.021789380858719763,0.022920236681958868,0.41881697766856035,0.05392100763917891,88493.69480162024,10544.3576796911,122800.73574950124,10024.112254224772,248751.3284,460045.7589511215,0.0
r,0.45264409620457724,0.31444896166000225,0.13819513454457494,0.010855886250743343,0.01147043168048941,0.011384598998072535,0.30530638906669,0.026195504595824568,115777.47402426785,9537.818528270265,263439.8570581086,9609.727652941707,458565.232,837782.5630823765,0.0
i,0.4329790543464827,0.3098773698066338,0.12310168453984889,0.014025695317568913,0.015012499453476257,0.014737335230411774,0.2843132555815027,0.035261080274789885,150853.10664207302,18059.64566158012,379734.5591828455,18396.8415175198,694847.2842000002,1225434.9500249187,0.0
z,0.4670075496208442,0.2830067858714364,0.18400076374940771,0.027919083152565072,0.027326453483458312,0.027338154295287687,0.3939995486128542,0.06310013067163953,316448.8564721689,47016.803020369785,486721.75015995436,46996.67968801099,916652.9964,1719823.6030321233,0.0
